Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",CP_Radial_D4.0mm_P2.00mm,3,C_Small,
D1,D_DO-35_SOD27_P7.62mm_Horizontal,1,D_Small,
"D2, D3",LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm,2,LED_Small,
D4,LED_D5.0mm-4_RGB,1,LED_RGBA,
F1,RGEF500,1,Polyfuse_Small,
J1,"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",1,Screw_Terminal_01x04,
"M1, M2, M3, M4, M5, M6, M7",JST_1x06_P2.54mm_Vertical,7,N20,
"MD1, MD2, MD3, MD4",TB6612,4,TB6612,
"R1, R2, R3, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,R_Small,
RV1,Potentiometer_Runtron_RM-065_Vertical,1,R_Potentiometer_Small,
"S1, S2",JST_1x03_P2.54mm_Vertical,2,EMG2,
T1,TestPoint_Pad_1.0x1.0mm,1,TestPoint_Probe,
U1,ESP32,1,ESP32,
U2,SAMD09,1,SAMD09,
"U3, U4",CD4069,2,CD4069,
U5,PinHeader_1x03_P2.54mm_Vertical,1,LM338,
