Designator,Mid X,Mid Y,Rotation,Layer
C1,56.134,-35.5,90.0,top
C2,61.0036,-35.5,90.0,top
C3,65.8731,-35.5,90.0,top
D1,46.525,-38.4433,180.0,top
D2,48.57,-26.165,180.0,top
D3,55.6768,-26.14,180.0,top
D4,63.1061,-30.5,0.0,top
F1,47.835,-34.5721,180.0,top
J1,46.525,-50.6924,270.0,top
M1,67.31,-97.0,90.0,top
M2,85.09,-97.0,90.0,top
M3,102.87,-97.0,90.0,top
M4,120.65,-97.0,90.0,top
M5,120.65,-31.0,270.0,top
M6,102.87,-31.0,270.0,top
M7,85.09,-31.0,270.0,top
MD1,100.33,-80.0,90.0,top
MD2,123.19,-80.0,90.0,top
MD3,123.19,-48.0,270.0,top
MD4,100.33,-48.0,270.0,top
R1,53.975,-43.2786,270.0,top
R2,71.635,-43.2786,90.0,top
R3,63.105,-43.2786,270.0,top
R4,67.37,-43.2786,90.0,top
RV1,71.9658,-32.5,0.0,top
S1,76.2,-43.8,0.0,top
S2,82.55,-43.8,0.0,top
U1,64.08,-78.74,270.0,top
U2,69.85,-55.7625,270.0,top
U3,101.6,-64.0,90.0,top
U4,121.92,-64.0,90.0,top
U5,58.54,-43.2786,0.0,top
